risk_factor,associated_condition,weight,is_modifiable,risk_type,recommended_action
High Cholesterol,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Hypertension,Heart Disease,Low,No,Genetic,Moderate Monitoring
Hypertension,Heart Disease,Medium,Yes,Environmental,High Monitoring
Hypertension,Heart Disease,High,No,Medical,Immediate Attention
Hypertension,Heart Disease,Critical,Yes,Lifestyle,Preventive
Hypertension,Diabetes,Low,No,Genetic,Moderate Monitoring
Hypertension,Diabetes,Medium,Yes,Environmental,High Monitoring
Hypertension,Diabetes,High,No,Medical,Immediate Attention
Hypertension,Diabetes,Critical,Yes,Lifestyle,Preventive
Hypertension,Hypertension,Low,No,Genetic,Moderate Monitoring
Hypertension,Hypertension,Medium,Yes,Environmental,High Monitoring
Hypertension,Hypertension,High,No,Medical,Immediate Attention
Hypertension,Hypertension,Critical,Yes,Lifestyle,Preventive
Hypertension,Stroke,Low,No,Genetic,Moderate Monitoring
Hypertension,Stroke,Medium,Yes,Environmental,High Monitoring
Hypertension,Stroke,High,No,Medical,Immediate Attention
Hypertension,Stroke,Critical,Yes,Lifestyle,Preventive
Hypertension,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Hypertension,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Hypertension,Kidney Disease,High,No,Medical,Immediate Attention
Hypertension,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Hypertension,Liver Disease,Low,No,Genetic,Moderate Monitoring
Hypertension,Liver Disease,Medium,Yes,Environmental,High Monitoring
Hypertension,Liver Disease,High,No,Medical,Immediate Attention
Hypertension,Liver Disease,Critical,Yes,Lifestyle,Preventive
Hypertension,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Hypertension,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Hypertension,Respiratory Disorder,High,No,Medical,Immediate Attention
Hypertension,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Hypertension,Cancer,Low,No,Genetic,Moderate Monitoring
Hypertension,Cancer,Medium,Yes,Environmental,High Monitoring
Hypertension,Cancer,High,No,Medical,Immediate Attention
Hypertension,Cancer,Critical,Yes,Lifestyle,Preventive
Hypertension,Obesity,Low,No,Genetic,Moderate Monitoring
Hypertension,Obesity,Medium,Yes,Environmental,High Monitoring
Hypertension,Obesity,High,No,Medical,Immediate Attention
Hypertension,Obesity,Critical,Yes,Lifestyle,Preventive
Hypertension,Depression,Low,No,Genetic,Moderate Monitoring
Hypertension,Depression,Medium,Yes,Environmental,High Monitoring
Hypertension,Depression,High,No,Medical,Immediate Attention
Hypertension,Depression,Critical,Yes,Lifestyle,Preventive
Hypertension,Anxiety,Low,No,Genetic,Moderate Monitoring
Hypertension,Anxiety,Medium,Yes,Environmental,High Monitoring
Hypertension,Anxiety,High,No,Medical,Immediate Attention
Hypertension,Anxiety,Critical,Yes,Lifestyle,Preventive
Hypertension,Infection Risk,Low,No,Genetic,Moderate Monitoring
Hypertension,Infection Risk,Medium,Yes,Environmental,High Monitoring
Hypertension,Infection Risk,High,No,Medical,Immediate Attention
Hypertension,Infection Risk,Critical,Yes,Lifestyle,Preventive
Hypertension,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Hypertension,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Hypertension,Metabolic Disorder,High,No,Medical,Immediate Attention
Hypertension,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Hypertension,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Hypertension,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Hypertension,Autoimmune Disease,High,No,Medical,Immediate Attention
Hypertension,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Hypertension,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Hypertension,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Hypertension,Hormonal Disorder,High,No,Medical,Immediate Attention
Hypertension,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Diabetes,Heart Disease,Low,No,Genetic,Moderate Monitoring
Diabetes,Heart Disease,Medium,Yes,Environmental,High Monitoring
Diabetes,Heart Disease,High,No,Medical,Immediate Attention
Diabetes,Heart Disease,Critical,Yes,Lifestyle,Preventive
Diabetes,Diabetes,Low,No,Genetic,Moderate Monitoring
Diabetes,Diabetes,Medium,Yes,Environmental,High Monitoring
Diabetes,Diabetes,High,No,Medical,Immediate Attention
Diabetes,Diabetes,Critical,Yes,Lifestyle,Preventive
Diabetes,Hypertension,Low,No,Genetic,Moderate Monitoring
Diabetes,Hypertension,Medium,Yes,Environmental,High Monitoring
Diabetes,Hypertension,High,No,Medical,Immediate Attention
Diabetes,Hypertension,Critical,Yes,Lifestyle,Preventive
Diabetes,Stroke,Low,No,Genetic,Moderate Monitoring
Diabetes,Stroke,Medium,Yes,Environmental,High Monitoring
Diabetes,Stroke,High,No,Medical,Immediate Attention
Diabetes,Stroke,Critical,Yes,Lifestyle,Preventive
Diabetes,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Diabetes,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Diabetes,Kidney Disease,High,No,Medical,Immediate Attention
Diabetes,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Diabetes,Liver Disease,Low,No,Genetic,Moderate Monitoring
Diabetes,Liver Disease,Medium,Yes,Environmental,High Monitoring
Diabetes,Liver Disease,High,No,Medical,Immediate Attention
Diabetes,Liver Disease,Critical,Yes,Lifestyle,Preventive
Diabetes,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Diabetes,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Diabetes,Respiratory Disorder,High,No,Medical,Immediate Attention
Diabetes,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Diabetes,Cancer,Low,No,Genetic,Moderate Monitoring
Diabetes,Cancer,Medium,Yes,Environmental,High Monitoring
Diabetes,Cancer,High,No,Medical,Immediate Attention
Diabetes,Cancer,Critical,Yes,Lifestyle,Preventive
Diabetes,Obesity,Low,No,Genetic,Moderate Monitoring
Diabetes,Obesity,Medium,Yes,Environmental,High Monitoring
Diabetes,Obesity,High,No,Medical,Immediate Attention
Diabetes,Obesity,Critical,Yes,Lifestyle,Preventive
Diabetes,Depression,Low,No,Genetic,Moderate Monitoring
Diabetes,Depression,Medium,Yes,Environmental,High Monitoring
Diabetes,Depression,High,No,Medical,Immediate Attention
Diabetes,Depression,Critical,Yes,Lifestyle,Preventive
Diabetes,Anxiety,Low,No,Genetic,Moderate Monitoring
Diabetes,Anxiety,Medium,Yes,Environmental,High Monitoring
Diabetes,Anxiety,High,No,Medical,Immediate Attention
Diabetes,Anxiety,Critical,Yes,Lifestyle,Preventive
Diabetes,Infection Risk,Low,No,Genetic,Moderate Monitoring
Diabetes,Infection Risk,Medium,Yes,Environmental,High Monitoring
Diabetes,Infection Risk,High,No,Medical,Immediate Attention
Diabetes,Infection Risk,Critical,Yes,Lifestyle,Preventive
Diabetes,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Diabetes,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Diabetes,Metabolic Disorder,High,No,Medical,Immediate Attention
Diabetes,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Diabetes,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Diabetes,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Diabetes,Autoimmune Disease,High,No,Medical,Immediate Attention
Diabetes,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Diabetes,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Diabetes,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Diabetes,Hormonal Disorder,High,No,Medical,Immediate Attention
Diabetes,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Family History,Heart Disease,Low,No,Genetic,Moderate Monitoring
Family History,Heart Disease,Medium,Yes,Environmental,High Monitoring
Family History,Heart Disease,High,No,Medical,Immediate Attention
Family History,Heart Disease,Critical,Yes,Lifestyle,Preventive
Family History,Diabetes,Low,No,Genetic,Moderate Monitoring
Family History,Diabetes,Medium,Yes,Environmental,High Monitoring
Family History,Diabetes,High,No,Medical,Immediate Attention
Family History,Diabetes,Critical,Yes,Lifestyle,Preventive
Family History,Hypertension,Low,No,Genetic,Moderate Monitoring
Family History,Hypertension,Medium,Yes,Environmental,High Monitoring
Family History,Hypertension,High,No,Medical,Immediate Attention
Family History,Hypertension,Critical,Yes,Lifestyle,Preventive
Family History,Stroke,Low,No,Genetic,Moderate Monitoring
Family History,Stroke,Medium,Yes,Environmental,High Monitoring
Family History,Stroke,High,No,Medical,Immediate Attention
Family History,Stroke,Critical,Yes,Lifestyle,Preventive
Family History,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Family History,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Family History,Kidney Disease,High,No,Medical,Immediate Attention
Family History,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Family History,Liver Disease,Low,No,Genetic,Moderate Monitoring
Family History,Liver Disease,Medium,Yes,Environmental,High Monitoring
Family History,Liver Disease,High,No,Medical,Immediate Attention
Family History,Liver Disease,Critical,Yes,Lifestyle,Preventive
Family History,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Family History,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Family History,Respiratory Disorder,High,No,Medical,Immediate Attention
Family History,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Family History,Cancer,Low,No,Genetic,Moderate Monitoring
Family History,Cancer,Medium,Yes,Environmental,High Monitoring
Family History,Cancer,High,No,Medical,Immediate Attention
Family History,Cancer,Critical,Yes,Lifestyle,Preventive
Family History,Obesity,Low,No,Genetic,Moderate Monitoring
Family History,Obesity,Medium,Yes,Environmental,High Monitoring
Family History,Obesity,High,No,Medical,Immediate Attention
Family History,Obesity,Critical,Yes,Lifestyle,Preventive
Family History,Depression,Low,No,Genetic,Moderate Monitoring
Family History,Depression,Medium,Yes,Environmental,High Monitoring
Family History,Depression,High,No,Medical,Immediate Attention
Family History,Depression,Critical,Yes,Lifestyle,Preventive
Family History,Anxiety,Low,No,Genetic,Moderate Monitoring
Family History,Anxiety,Medium,Yes,Environmental,High Monitoring
Family History,Anxiety,High,No,Medical,Immediate Attention
Family History,Anxiety,Critical,Yes,Lifestyle,Preventive
Family History,Infection Risk,Low,No,Genetic,Moderate Monitoring
Family History,Infection Risk,Medium,Yes,Environmental,High Monitoring
Family History,Infection Risk,High,No,Medical,Immediate Attention
Family History,Infection Risk,Critical,Yes,Lifestyle,Preventive
Family History,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Family History,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Family History,Metabolic Disorder,High,No,Medical,Immediate Attention
Family History,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Family History,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Family History,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Family History,Autoimmune Disease,High,No,Medical,Immediate Attention
Family History,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Family History,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Family History,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Family History,Hormonal Disorder,High,No,Medical,Immediate Attention
Family History,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Heart Disease,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Heart Disease,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Heart Disease,High,No,Medical,Immediate Attention
Genetic Predisposition,Heart Disease,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Diabetes,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Diabetes,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Diabetes,High,No,Medical,Immediate Attention
Genetic Predisposition,Diabetes,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Hypertension,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Hypertension,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Hypertension,High,No,Medical,Immediate Attention
Genetic Predisposition,Hypertension,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Stroke,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Stroke,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Stroke,High,No,Medical,Immediate Attention
Genetic Predisposition,Stroke,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Kidney Disease,High,No,Medical,Immediate Attention
Genetic Predisposition,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Liver Disease,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Liver Disease,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Liver Disease,High,No,Medical,Immediate Attention
Genetic Predisposition,Liver Disease,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Respiratory Disorder,High,No,Medical,Immediate Attention
Genetic Predisposition,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Cancer,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Cancer,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Cancer,High,No,Medical,Immediate Attention
Genetic Predisposition,Cancer,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Obesity,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Obesity,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Obesity,High,No,Medical,Immediate Attention
Genetic Predisposition,Obesity,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Depression,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Depression,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Depression,High,No,Medical,Immediate Attention
Genetic Predisposition,Depression,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Anxiety,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Anxiety,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Anxiety,High,No,Medical,Immediate Attention
Genetic Predisposition,Anxiety,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Infection Risk,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Infection Risk,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Infection Risk,High,No,Medical,Immediate Attention
Genetic Predisposition,Infection Risk,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Metabolic Disorder,High,No,Medical,Immediate Attention
Genetic Predisposition,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Autoimmune Disease,High,No,Medical,Immediate Attention
Genetic Predisposition,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Genetic Predisposition,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Genetic Predisposition,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Genetic Predisposition,Hormonal Disorder,High,No,Medical,Immediate Attention
Genetic Predisposition,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Poor Diet,Heart Disease,Low,No,Genetic,Moderate Monitoring
Poor Diet,Heart Disease,Medium,Yes,Environmental,High Monitoring
Poor Diet,Heart Disease,High,No,Medical,Immediate Attention
Poor Diet,Heart Disease,Critical,Yes,Lifestyle,Preventive
Poor Diet,Diabetes,Low,No,Genetic,Moderate Monitoring
Poor Diet,Diabetes,Medium,Yes,Environmental,High Monitoring
Poor Diet,Diabetes,High,No,Medical,Immediate Attention
Poor Diet,Diabetes,Critical,Yes,Lifestyle,Preventive
Poor Diet,Hypertension,Low,No,Genetic,Moderate Monitoring
Poor Diet,Hypertension,Medium,Yes,Environmental,High Monitoring
Poor Diet,Hypertension,High,No,Medical,Immediate Attention
Poor Diet,Hypertension,Critical,Yes,Lifestyle,Preventive
Poor Diet,Stroke,Low,No,Genetic,Moderate Monitoring
Poor Diet,Stroke,Medium,Yes,Environmental,High Monitoring
Poor Diet,Stroke,High,No,Medical,Immediate Attention
Poor Diet,Stroke,Critical,Yes,Lifestyle,Preventive
Poor Diet,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Poor Diet,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Poor Diet,Kidney Disease,High,No,Medical,Immediate Attention
Poor Diet,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Poor Diet,Liver Disease,Low,No,Genetic,Moderate Monitoring
Poor Diet,Liver Disease,Medium,Yes,Environmental,High Monitoring
Poor Diet,Liver Disease,High,No,Medical,Immediate Attention
Poor Diet,Liver Disease,Critical,Yes,Lifestyle,Preventive
Poor Diet,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Poor Diet,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Poor Diet,Respiratory Disorder,High,No,Medical,Immediate Attention
Poor Diet,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Poor Diet,Cancer,Low,No,Genetic,Moderate Monitoring
Poor Diet,Cancer,Medium,Yes,Environmental,High Monitoring
Poor Diet,Cancer,High,No,Medical,Immediate Attention
Poor Diet,Cancer,Critical,Yes,Lifestyle,Preventive
Poor Diet,Obesity,Low,No,Genetic,Moderate Monitoring
Poor Diet,Obesity,Medium,Yes,Environmental,High Monitoring
Poor Diet,Obesity,High,No,Medical,Immediate Attention
Poor Diet,Obesity,Critical,Yes,Lifestyle,Preventive
Poor Diet,Depression,Low,No,Genetic,Moderate Monitoring
Poor Diet,Depression,Medium,Yes,Environmental,High Monitoring
Poor Diet,Depression,High,No,Medical,Immediate Attention
Poor Diet,Depression,Critical,Yes,Lifestyle,Preventive
Poor Diet,Anxiety,Low,No,Genetic,Moderate Monitoring
Poor Diet,Anxiety,Medium,Yes,Environmental,High Monitoring
Poor Diet,Anxiety,High,No,Medical,Immediate Attention
Poor Diet,Anxiety,Critical,Yes,Lifestyle,Preventive
Poor Diet,Infection Risk,Low,No,Genetic,Moderate Monitoring
Poor Diet,Infection Risk,Medium,Yes,Environmental,High Monitoring
Poor Diet,Infection Risk,High,No,Medical,Immediate Attention
Poor Diet,Infection Risk,Critical,Yes,Lifestyle,Preventive
Poor Diet,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Poor Diet,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Poor Diet,Metabolic Disorder,High,No,Medical,Immediate Attention
Poor Diet,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Poor Diet,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Poor Diet,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Poor Diet,Autoimmune Disease,High,No,Medical,Immediate Attention
Poor Diet,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Poor Diet,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Poor Diet,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Poor Diet,Hormonal Disorder,High,No,Medical,Immediate Attention
Poor Diet,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
High Salt Intake,Heart Disease,Low,No,Genetic,Moderate Monitoring
