symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Frequent Urination,Since how many days?,Duration,Numeric,Low,General,Yes
Frequent Urination,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Frequent Urination,How frequently does it occur?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Frequent Urination,When did it start worsening?,Progression,Numeric,Low,Neurology,No
Frequent Urination,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,GI,Yes
Frequent Urination,Triggered by activity?,Trigger,Yes/No,High,Endocrine,No
Frequent Urination,Localized or widespread?,Location,Localized/Diffuse,Low,MSK,Yes
Frequent Urination,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Frequent Urination,Does it affect daily activities?,Impact,Yes/No,High,Emergency,Yes
Frequent Urination,Any emergency warning signs?,Emergency Flag,Yes/No,Low,General,No
Excess Thirst,Since how many days?,Duration,Numeric,Medium,Respiratory,Yes
Excess Thirst,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Excess Thirst,How frequently does it occur?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Excess Thirst,When did it start worsening?,Progression,Numeric,Medium,GI,No
Excess Thirst,Any associated symptoms present?,Associated Symptom,Yes/No,High,Endocrine,Yes
Excess Thirst,Triggered by activity?,Trigger,Yes/No,Low,MSK,No
Excess Thirst,Localized or widespread?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Excess Thirst,Constant or intermittent?,Pattern,Constant/Intermittent,High,Emergency,No
Excess Thirst,Does it affect daily activities?,Impact,Yes/No,Low,General,Yes
Excess Thirst,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Respiratory,No
Heat Intolerance,Since how many days?,Duration,Numeric,High,Cardiac,Yes
Heat Intolerance,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Heat Intolerance,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,GI,Yes
Heat Intolerance,When did it start worsening?,Progression,Numeric,High,Endocrine,No
Heat Intolerance,Any associated symptoms present?,Associated Symptom,Yes/No,Low,MSK,Yes
Heat Intolerance,Triggered by activity?,Trigger,Yes/No,Medium,Dermatology,No
Heat Intolerance,Localized or widespread?,Location,Localized/Diffuse,High,Emergency,Yes
Heat Intolerance,Constant or intermittent?,Pattern,Constant/Intermittent,Low,General,No
Heat Intolerance,Does it affect daily activities?,Impact,Yes/No,Medium,Respiratory,Yes
Heat Intolerance,Any emergency warning signs?,Emergency Flag,Yes/No,High,Cardiac,No
Cold Intolerance,Since how many days?,Duration,Numeric,Low,Neurology,Yes
Cold Intolerance,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,GI,No
Cold Intolerance,How frequently does it occur?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Cold Intolerance,When did it start worsening?,Progression,Numeric,Low,MSK,No
Cold Intolerance,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Cold Intolerance,Triggered by activity?,Trigger,Yes/No,High,Emergency,No
Cold Intolerance,Localized or widespread?,Location,Localized/Diffuse,Low,General,Yes
Cold Intolerance,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Cold Intolerance,Does it affect daily activities?,Impact,Yes/No,High,Cardiac,Yes
Cold Intolerance,Any emergency warning signs?,Emergency Flag,Yes/No,Low,Neurology,No
Rash,Since how many days?,Duration,Numeric,Medium,GI,Yes
Rash,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Rash,How frequently does it occur?,Frequency,Occasional/Frequent,Low,MSK,Yes
Rash,When did it start worsening?,Progression,Numeric,Medium,Dermatology,No
Rash,Any associated symptoms present?,Associated Symptom,Yes/No,High,Emergency,Yes
Rash,Triggered by activity?,Trigger,Yes/No,Low,General,No
Rash,Localized or widespread?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Rash,Constant or intermittent?,Pattern,Constant/Intermittent,High,Cardiac,No
Rash,Does it affect daily activities?,Impact,Yes/No,Low,Neurology,Yes
Rash,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,GI,No
Itching,Since how many days?,Duration,Numeric,High,Endocrine,Yes
Itching,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,MSK,No
Itching,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Itching,When did it start worsening?,Progression,Numeric,High,Emergency,No
Itching,Any associated symptoms present?,Associated Symptom,Yes/No,Low,General,Yes
Itching,Triggered by activity?,Trigger,Yes/No,Medium,Respiratory,No
Itching,Localized or widespread?,Location,Localized/Diffuse,High,Cardiac,Yes
Itching,Constant or intermittent?,Pattern,Constant/Intermittent,Low,Neurology,No
Itching,Does it affect daily activities?,Impact,Yes/No,Medium,GI,Yes
Itching,Any emergency warning signs?,Emergency Flag,Yes/No,High,Endocrine,No
Skin Lesions,Since how many days?,Duration,Numeric,Low,MSK,Yes
Skin Lesions,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Skin Lesions,How frequently does it occur?,Frequency,Occasional/Frequent,High,Emergency,Yes
Skin Lesions,When did it start worsening?,Progression,Numeric,Low,General,No
Skin Lesions,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Skin Lesions,Triggered by activity?,Trigger,Yes/No,High,Cardiac,No
Skin Lesions,Localized or widespread?,Location,Localized/Diffuse,Low,Neurology,Yes
Skin Lesions,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,GI,No
Skin Lesions,Does it affect daily activities?,Impact,Yes/No,High,Endocrine,Yes
Skin Lesions,Any emergency warning signs?,Emergency Flag,Yes/No,Low,MSK,No
Hair Loss,Since how many days?,Duration,Numeric,Medium,Dermatology,Yes
Hair Loss,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Emergency,No
Hair Loss,How frequently does it occur?,Frequency,Occasional/Frequent,Low,General,Yes
Hair Loss,When did it start worsening?,Progression,Numeric,Medium,Respiratory,No
Hair Loss,Any associated symptoms present?,Associated Symptom,Yes/No,High,Cardiac,Yes
Hair Loss,Triggered by activity?,Trigger,Yes/No,Low,Neurology,No
Hair Loss,Localized or widespread?,Location,Localized/Diffuse,Medium,GI,Yes
Hair Loss,Constant or intermittent?,Pattern,Constant/Intermittent,High,Endocrine,No
Hair Loss,Does it affect daily activities?,Impact,Yes/No,Low,MSK,Yes
Hair Loss,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Dermatology,No
Insomnia,Since how many days?,Duration,Numeric,High,Emergency,Yes
Insomnia,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,General,No
Insomnia,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Insomnia,When did it start worsening?,Progression,Numeric,High,Cardiac,No
Insomnia,Any associated symptoms present?,Associated Symptom,Yes/No,Low,Neurology,Yes
Insomnia,Triggered by activity?,Trigger,Yes/No,Medium,GI,No
Insomnia,Localized or widespread?,Location,Localized/Diffuse,High,Endocrine,Yes
Insomnia,Constant or intermittent?,Pattern,Constant/Intermittent,Low,MSK,No
Insomnia,Does it affect daily activities?,Impact,Yes/No,Medium,Dermatology,Yes
Insomnia,Any emergency warning signs?,Emergency Flag,Yes/No,High,Emergency,No
Anxiety,Since how many days?,Duration,Numeric,Low,General,Yes
Anxiety,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Anxiety,How frequently does it occur?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Anxiety,When did it start worsening?,Progression,Numeric,Low,Neurology,No
Anxiety,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,GI,Yes
Anxiety,Triggered by activity?,Trigger,Yes/No,High,Endocrine,No
Anxiety,Localized or widespread?,Location,Localized/Diffuse,Low,MSK,Yes
Anxiety,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Anxiety,Does it affect daily activities?,Impact,Yes/No,High,Emergency,Yes
Anxiety,Any emergency warning signs?,Emergency Flag,Yes/No,Low,General,No
Depressed Mood,Since how many days?,Duration,Numeric,Medium,Respiratory,Yes
Depressed Mood,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Depressed Mood,How frequently does it occur?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Depressed Mood,When did it start worsening?,Progression,Numeric,Medium,GI,No
Depressed Mood,Any associated symptoms present?,Associated Symptom,Yes/No,High,Endocrine,Yes
Depressed Mood,Triggered by activity?,Trigger,Yes/No,Low,MSK,No
Depressed Mood,Localized or widespread?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Depressed Mood,Constant or intermittent?,Pattern,Constant/Intermittent,High,Emergency,No
Depressed Mood,Does it affect daily activities?,Impact,Yes/No,Low,General,Yes
Depressed Mood,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Respiratory,No
Irritability,Since how many days?,Duration,Numeric,High,Cardiac,Yes
Irritability,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Irritability,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,GI,Yes
Irritability,When did it start worsening?,Progression,Numeric,High,Endocrine,No
Irritability,Any associated symptoms present?,Associated Symptom,Yes/No,Low,MSK,Yes
Irritability,Triggered by activity?,Trigger,Yes/No,Medium,Dermatology,No
Irritability,Localized or widespread?,Location,Localized/Diffuse,High,Emergency,Yes
Irritability,Constant or intermittent?,Pattern,Constant/Intermittent,Low,General,No
Irritability,Does it affect daily activities?,Impact,Yes/No,Medium,Respiratory,Yes
Irritability,Any emergency warning signs?,Emergency Flag,Yes/No,High,Cardiac,No
Ear Pain,Since how many days?,Duration,Numeric,Low,Neurology,Yes
Ear Pain,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,GI,No
Ear Pain,How frequently does it occur?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Ear Pain,When did it start worsening?,Progression,Numeric,Low,MSK,No
Ear Pain,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Ear Pain,Triggered by activity?,Trigger,Yes/No,High,Emergency,No
Ear Pain,Localized or widespread?,Location,Localized/Diffuse,Low,General,Yes
Ear Pain,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Ear Pain,Does it affect daily activities?,Impact,Yes/No,High,Cardiac,Yes
Ear Pain,Any emergency warning signs?,Emergency Flag,Yes/No,Low,Neurology,No
Hearing Loss,Since how many days?,Duration,Numeric,Medium,GI,Yes
Hearing Loss,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Hearing Loss,How frequently does it occur?,Frequency,Occasional/Frequent,Low,MSK,Yes
Hearing Loss,When did it start worsening?,Progression,Numeric,Medium,Dermatology,No
Hearing Loss,Any associated symptoms present?,Associated Symptom,Yes/No,High,Emergency,Yes
Hearing Loss,Triggered by activity?,Trigger,Yes/No,Low,General,No
Hearing Loss,Localized or widespread?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Hearing Loss,Constant or intermittent?,Pattern,Constant/Intermittent,High,Cardiac,No
Hearing Loss,Does it affect daily activities?,Impact,Yes/No,Low,Neurology,Yes
Hearing Loss,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,GI,No
Neck Pain,Since how many days?,Duration,Numeric,High,Endocrine,Yes
Neck Pain,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,MSK,No
Neck Pain,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Neck Pain,When did it start worsening?,Progression,Numeric,High,Emergency,No
Neck Pain,Any associated symptoms present?,Associated Symptom,Yes/No,Low,General,Yes
Neck Pain,Triggered by activity?,Trigger,Yes/No,Medium,Respiratory,No
Neck Pain,Localized or widespread?,Location,Localized/Diffuse,High,Cardiac,Yes
Neck Pain,Constant or intermittent?,Pattern,Constant/Intermittent,Low,Neurology,No
Neck Pain,Does it affect daily activities?,Impact,Yes/No,Medium,GI,Yes
Neck Pain,Any emergency warning signs?,Emergency Flag,Yes/No,High,Endocrine,No
Pelvic Pain,Since how many days?,Duration,Numeric,Low,MSK,Yes
Pelvic Pain,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Pelvic Pain,How frequently does it occur?,Frequency,Occasional/Frequent,High,Emergency,Yes
Pelvic Pain,When did it start worsening?,Progression,Numeric,Low,General,No
Pelvic Pain,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Pelvic Pain,Triggered by activity?,Trigger,Yes/No,High,Cardiac,No
Pelvic Pain,Localized or widespread?,Location,Localized/Diffuse,Low,Neurology,Yes
Pelvic Pain,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,GI,No
Pelvic Pain,Does it affect daily activities?,Impact,Yes/No,High,Endocrine,Yes
Pelvic Pain,Any emergency warning signs?,Emergency Flag,Yes/No,Low,MSK,No
Menstrual Irregularity,Since how many days?,Duration,Numeric,Medium,Dermatology,Yes
Menstrual Irregularity,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Emergency,No
Menstrual Irregularity,How frequently does it occur?,Frequency,Occasional/Frequent,Low,General,Yes
Menstrual Irregularity,When did it start worsening?,Progression,Numeric,Medium,Respiratory,No
Menstrual Irregularity,Any associated symptoms present?,Associated Symptom,Yes/No,High,Cardiac,Yes
Menstrual Irregularity,Triggered by activity?,Trigger,Yes/No,Low,Neurology,No
Menstrual Irregularity,Localized or widespread?,Location,Localized/Diffuse,Medium,GI,Yes
Menstrual Irregularity,Constant or intermittent?,Pattern,Constant/Intermittent,High,Endocrine,No
Menstrual Irregularity,Does it affect daily activities?,Impact,Yes/No,Low,MSK,Yes
Menstrual Irregularity,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Dermatology,No
Burning Urination,Since how many days?,Duration,Numeric,High,Emergency,Yes
Burning Urination,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,General,No
Burning Urination,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Burning Urination,When did it start worsening?,Progression,Numeric,High,Cardiac,No
Burning Urination,Any associated symptoms present?,Associated Symptom,Yes/No,Low,Neurology,Yes
Burning Urination,Triggered by activity?,Trigger,Yes/No,Medium,GI,No
Burning Urination,Localized or widespread?,Location,Localized/Diffuse,High,Endocrine,Yes
Burning Urination,Constant or intermittent?,Pattern,Constant/Intermittent,Low,MSK,No
Burning Urination,Does it affect daily activities?,Impact,Yes/No,Medium,Dermatology,Yes
Burning Urination,Any emergency warning signs?,Emergency Flag,Yes/No,High,Emergency,No
Blood in Urine,Since how many days?,Duration,Numeric,Low,General,Yes
Blood in Urine,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Blood in Urine,How frequently does it occur?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Blood in Urine,When did it start worsening?,Progression,Numeric,Low,Neurology,No
Blood in Urine,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,GI,Yes
Blood in Urine,Triggered by activity?,Trigger,Yes/No,High,Endocrine,No
Blood in Urine,Localized or widespread?,Location,Localized/Diffuse,Low,MSK,Yes
Blood in Urine,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Blood in Urine,Does it affect daily activities?,Impact,Yes/No,High,Emergency,Yes
Blood in Urine,Any emergency warning signs?,Emergency Flag,Yes/No,Low,General,No
Swollen Lymph Nodes,Since how many days?,Duration,Numeric,Medium,Respiratory,Yes
Swollen Lymph Nodes,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Swollen Lymph Nodes,How frequently does it occur?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Swollen Lymph Nodes,When did it start worsening?,Progression,Numeric,Medium,GI,No
Swollen Lymph Nodes,Any associated symptoms present?,Associated Symptom,Yes/No,High,Endocrine,Yes
Swollen Lymph Nodes,Triggered by activity?,Trigger,Yes/No,Low,MSK,No
Swollen Lymph Nodes,Localized or widespread?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Swollen Lymph Nodes,Constant or intermittent?,Pattern,Constant/Intermittent,High,Emergency,No
Swollen Lymph Nodes,Does it affect daily activities?,Impact,Yes/No,Low,General,Yes
Swollen Lymph Nodes,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Respiratory,No
Dry Mouth,Since how many days?,Duration,Numeric,High,Cardiac,Yes
Dry Mouth,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Dry Mouth,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,GI,Yes
Dry Mouth,When did it start worsening?,Progression,Numeric,High,Endocrine,No
Dry Mouth,Any associated symptoms present?,Associated Symptom,Yes/No,Low,MSK,Yes
Dry Mouth,Triggered by activity?,Trigger,Yes/No,Medium,Dermatology,No
Dry Mouth,Localized or widespread?,Location,Localized/Diffuse,High,Emergency,Yes
Dry Mouth,Constant or intermittent?,Pattern,Constant/Intermittent,Low,General,No
Dry Mouth,Does it affect daily activities?,Impact,Yes/No,Medium,Respiratory,Yes
Dry Mouth,Any emergency warning signs?,Emergency Flag,Yes/No,High,Cardiac,No
Mouth Ulcers,Since how many days?,Duration,Numeric,Low,Neurology,Yes
Mouth Ulcers,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,GI,No
Mouth Ulcers,How frequently does it occur?,Frequency,Occasional/Frequent,High,Endocrine,Yes
