id,disease_name,category,severity,target_demographic,symptoms,description,medical_advice
136,Cold Sore,Skin,Acute,Adult,"tingling, blisters on lip, pain, itching",Acute case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Adult.,Consult a doctor if symptoms persist for more than 48 hours.
137,Osteoarthritis,Musculoskeletal,Moderate,Male,"joint pain, stiffness, tenderness, loss of flexibility","Moderate case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: Male.",Consult a doctor if symptoms persist for more than 48 hours.
138,Tennis Elbow,Musculoskeletal,Chronic,Female,"pain on outer elbow, weak grip, burning sensation","Chronic case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Female.",Home remedies can alleviate symptoms.
139,Carpal Tunnel,Musculoskeletal,Mild,General,"numbness,  tingling",Mild case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: General.,Maintain good hygiene.
140,Toothache,Dental,Moderate,Male,"tooth pain, swelling around tooth, fever, drainage",Moderate case of Toothache. Pain in or around a tooth caused by various dental problems. Target demographic: Male.,Prescription medication might be required.
141,Viral Pharyngitis,Respiratory,Moderate,Male,"sore throat, scratchy throat, difficulty swallowing","Moderate case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Male.",Consult a doctor if symptoms persist for more than 48 hours.
142,Gastroenteritis,Digestive,Chronic,Male,"diarrhea, stomach cramps, nausea, vomiting","Chronic case of Gastroenteritis. Inflammation of the stomach and intestines, often called stomach flu. Target demographic: Male.",Home remedies can alleviate symptoms.
143,Gingivitis,Dental,Mild,Elderly,"swollen gums,  bleeding gums",Mild case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Elderly.,Consult a doctor if symptoms persist for more than 48 hours.
144,Muscle Strain,Musculoskeletal,Chronic,Male,"sudden pain, swelling, muscle weakness, bruising",Chronic case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: Male.,Over-the-counter medication may help.
145,Hives,Skin,Moderate,Child,"red welts, itching, swelling, burning sensation","Moderate case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: Child.",Prescription medication might be required.
146,Nosebleed,General,Severe,Elderly,"bleeding from nose, dry nasal membranes, fatigue, dehydration","Severe case of Nosebleed. Bleeding from the inside of the nose, common in dry climates. Target demographic: Elderly.",Avoid triggers like spicy food or allergens.
147,Tension Headache,Neurological,Mild,Elderly,"dull head pain,  pressure across forehead","Mild case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Elderly.",Home remedies can alleviate symptoms.
148,Allergic Rhinitis,Immune,Acute,Adult,"sneezing, runny nose, itchy eyes, congestion",Acute case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Adult.,Home remedies can alleviate symptoms.
149,Dandruff,Skin,Mild,Female,"flaking scalp,  itching",Mild case of Dandruff. A common condition that causes the skin on the scalp to flake. Target demographic: Female.,Home remedies can alleviate symptoms.
150,Pink Eye,Eyes,Moderate,Female,"redness, itching, discharge, tearing",Moderate case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Female.,Prescription medication might be required.
151,Ear Infection,Ears,Chronic,Elderly,"ear pain, difficulty hearing, drainage from ear",Chronic case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Elderly.,Rest and hydration recommended.
152,Constipation,Digestive,Severe,Female,"infrequent bowel movements, hard stools, straining, fatigue, dehydration",Severe case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Female.,Home remedies can alleviate symptoms.
153,Migraine,Neurological,Mild,Adult,"severe headache,  nausea",Mild case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Adult.,Prescription medication might be required.
154,Carpal Tunnel,Musculoskeletal,Chronic,General,"numbness, tingling, weakness in hand",Chronic case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: General.,Prescription medication might be required.
155,Constipation,Digestive,Moderate,General,"infrequent bowel movements, hard stools, straining",Moderate case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: General.,Maintain good hygiene.
156,Insomnia,Mental Health,Chronic,Elderly,"difficulty falling asleep, waking up frequently, daytime tiredness",Chronic case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: Elderly.,Avoid triggers like spicy food or allergens.
157,Dehydration,Metabolic,Chronic,General,"extreme thirst, dry mouth, dark urine, fatigue",Chronic case of Dehydration. Occurs when you use or lose more fluid than you take in. Target demographic: General.,Maintain good hygiene.
158,Dandruff,Skin,Mild,Male,"flaking scalp,  itching",Mild case of Dandruff. A common condition that causes the skin on the scalp to flake. Target demographic: Male.,Rest and hydration recommended.
159,Acid Reflux,Digestive,Severe,Female,"heartburn, chest pain, regurgitation, difficulty swallowing, fatigue, dehydration",Severe case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: Female.,Avoid triggers like spicy food or allergens.
160,Bunion,Musculoskeletal,Mild,Female,"bump on big toe joint,  redness",Mild case of Bunion. A bony bump that forms on the joint at the base of your big toe. Target demographic: Female.,Over-the-counter medication may help.
161,Carpal Tunnel,Musculoskeletal,Chronic,Elderly,"numbness, tingling, weakness in hand",Chronic case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: Elderly.,Avoid triggers like spicy food or allergens.
162,Motion Sickness,Neurological,Acute,Child,"nausea, vomiting, dizziness, cold sweats","Acute case of Motion Sickness. A sick feeling triggered by movement from cars, planes, or boats. Target demographic: Child.",Home remedies can alleviate symptoms.
163,Jock Itch,Skin,Acute,General,"red, itchy rash in the groin area, burning sensation","Acute case of Jock Itch. A fungal infection that causes a red, itchy rash in warm, moist areas of the body. Target demographic: General.",Monitor symptoms closely.
164,Dehydration,Metabolic,Mild,General,"extreme thirst,  dry mouth",Mild case of Dehydration. Occurs when you use or lose more fluid than you take in. Target demographic: General.,Monitor symptoms closely.
165,Motion Sickness,Neurological,Severe,Elderly,"nausea, vomiting, dizziness, cold sweats, fatigue, dehydration","Severe case of Motion Sickness. A sick feeling triggered by movement from cars, planes, or boats. Target demographic: Elderly.",Maintain good hygiene.
166,Constipation,Digestive,Acute,Adult,"infrequent bowel movements, hard stools, straining",Acute case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Adult.,Consult a doctor if symptoms persist for more than 48 hours.
167,Jock Itch,Skin,Severe,Female,"red, itchy rash in the groin area, burning sensation, fatigue, dehydration","Severe case of Jock Itch. A fungal infection that causes a red, itchy rash in warm, moist areas of the body. Target demographic: Female.",Prescription medication might be required.
168,Eczema,Skin,Mild,Male,"dry,  itchy skin","Mild case of Eczema. A condition where patches of skin become inflamed, itchy, and cracked. Target demographic: Male.",Rest and hydration recommended.
169,Laryngitis,Respiratory,Chronic,Adult,"hoarseness, weak voice, sore throat, dry cough","Chronic case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: Adult.",Consult a doctor if symptoms persist for more than 48 hours.
170,Motion Sickness,Neurological,Chronic,Child,"nausea, vomiting, dizziness, cold sweats","Chronic case of Motion Sickness. A sick feeling triggered by movement from cars, planes, or boats. Target demographic: Child.",Seek immediate medical attention.
171,Heat Exhaustion,Environmental,Chronic,General,"heavy sweating, faintness, dizziness, fatigue, cool skin",Chronic case of Heat Exhaustion. A condition where the body overheats due to exposure to high temperatures. Target demographic: General.,Consult a doctor if symptoms persist for more than 48 hours.
172,Gastroenteritis,Digestive,Chronic,Female,"diarrhea, stomach cramps, nausea, vomiting","Chronic case of Gastroenteritis. Inflammation of the stomach and intestines, often called stomach flu. Target demographic: Female.",Rest and hydration recommended.
173,Heartburn,Digestive,Chronic,Child,"burning pain in chest, sour taste in mouth, pain worsening when lying down","Chronic case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: Child.",Maintain good hygiene.
174,Insomnia,Mental Health,Moderate,General,"difficulty falling asleep, waking up frequently, daytime tiredness",Moderate case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: General.,Consult a doctor if symptoms persist for more than 48 hours.
175,Constipation,Digestive,Chronic,Elderly,"infrequent bowel movements, hard stools, straining",Chronic case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Elderly.,Consult a doctor if symptoms persist for more than 48 hours.
176,Gingivitis,Dental,Chronic,Elderly,"swollen gums, bleeding gums, bad breath, receding gums",Chronic case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Elderly.,Over-the-counter medication may help.
177,Anxiety,Mental Health,Severe,General,"nervousness, rapid heart rate, trembling, sweating, fatigue, dehydration","Severe case of Anxiety. Intense, excessive, and persistent worry and fear. Target demographic: General.",Prescription medication might be required.
178,Athlete's Foot,Skin,Acute,Adult,"scaly rash, itching, stinging, blisters on feet",Acute case of Athlete's Foot. A fungal infection that usually begins between the toes. Target demographic: Adult.,Apply ice or heat to the affected area.
